Epoch,Time (seconds),Train Loss (Latency),Train Loss (PDR),Total Train Loss,Val Loss (Latency),Val Loss (PDR),Total Val Loss,Train RMSE (Latency),Train RMSE (PDR),Total Train RMSE,Val RMSE (Latency),Val RMSE (PDR),Total Val RMSE
11,15.74429965019226,0.009989059530198574,5.004919148632325e-05,0.010039212182164192,0.008590123616158962,5.072482963441871e-06,0.00859899166971445,0.22784332931041718,0.6147482395172119,0.10019586908732411,0.2105524092912674,0.002128381747752428,0.09273074824304207
12,15.840774774551392,0.00982273742556572,5.242817132966593e-05,0.00987482350319624,0.008428944274783134,1.4759831174160354e-05,0.008447283878922462,0.22798769176006317,0.6148885488510132,0.09937214651599431,0.21003659069538116,0.003811268135905266,0.09190910661584337
13,15.667287826538086,0.009746854193508625,5.108779078000225e-05,0.009798035956919193,0.00863220077008009,9.223263077728916e-06,0.008644443936645985,0.22800378501415253,0.6152966618537903,0.09898502895346949,0.1995033323764801,0.00296316621825099,0.09297550180905713
14,15.8121337890625,0.009746834635734558,5.547295222640969e-05,0.009802417829632759,0.008515214547514915,1.044205782818608e-05,0.00852929800748825,0.2280173897743225,0.6149888038635254,0.0990071604967679,0.2034256011247635,0.0030912072397768497,0.09235419864569369
15,15.7341787815094,0.009746406227350235,4.918873673886992e-05,0.009795861318707466,0.008832575753331184,8.961019921116531e-05,0.008926006965339184,0.22831784188747406,0.6150994300842285,0.09897404366149473,0.21490778028964996,0.009158487431704998,0.0944775474138654
16,15.99309515953064,0.00966897513717413,4.177893424639478e-05,0.009710978716611862,0.008588912896811962,2.2340116629493423e-05,0.008615020662546158,0.22830456495285034,0.6147627234458923,0.09854429824506267,0.2039576768875122,0.004584236536175013,0.09281713560838946
17,16.177573680877686,0.00958484411239624,4.9768947064876556e-05,0.009634305723011494,0.008469779044389725,4.994909431843553e-06,0.008478316478431225,0.228329598903656,0.6152368187904358,0.09815449924996558,0.2073354423046112,0.002114485716447234,0.09207777407404691
18,16.20462393760681,0.009547100402414799,4.388285378809087e-05,0.0095912404358387,0.008471796289086342,2.2349197024595924e-05,0.008497816510498524,0.22842372953891754,0.6156401634216309,0.09793487854609664,0.20960372686386108,0.004643235821276903,0.09218360217792818
19,15.701202392578125,0.009501567110419273,4.158664887654595e-05,0.009542852640151978,0.008602681569755077,5.255176347418455e-06,0.008611897937953472,0.22855915129184723,0.6151069402694702,0.09768752550941179,0.20653915405273438,0.002198022324591875,0.09280031216517255
20,15.602235794067383,0.009488329291343689,4.439648182597011e-05,0.009532412514090538,0.008793724700808525,8.520342817064375e-06,0.008806475438177586,0.22857947647571564,0.615361750125885,0.09763407455438157,0.21594274044036865,0.00279689347371459,0.09384282305098023
21,15.207939863204956,0.009409288875758648,4.071867806487717e-05,0.009450038895010948,0.008348953910171986,6.692865554214222e-06,0.008359163999557495,0.22850453853607178,0.6148812174797058,0.0972113105302616,0.20725271105766296,0.002547801937907934,0.09142846383680246
22,15.8796226978302,0.009413068182766438,3.8342157495208085e-05,0.009451247751712799,0.008518993854522705,5.388748832046986e-06,0.008528098464012146,0.22867164015769958,0.6154189109802246,0.09721752800659354,0.20529553294181824,0.0022383786272257566,0.09234770416210761
23,16.26002860069275,0.009347214363515377,4.49207000201568e-05,0.009391956962645054,0.008462416008114815,8.434068149654195e-06,0.008474982343614101,0.22860966622829437,0.6150305271148682,0.09691210947371362,0.2126006782054901,0.0027800416573882103,0.09205966730123513
24,16.297725915908813,0.009311814792454243,4.304634785512462e-05,0.009355003014206886,0.00833211001008749,3.22292976306926e-06,0.008339331485331059,0.22899477183818817,0.6147943735122681,0.09672126453994946,0.20780344307422638,0.001691085984930396,0.091319940239419
25,15.968716382980347,0.009284480474889278,3.9435417420463637e-05,0.009323864243924618,0.008331095799803734,2.1406881387520116e-06,0.008336874656379223,0.22891481220722198,0.6154666543006897,0.09656015867802112,0.205348402261734,0.0014002551324665546,0.09130648748243042
26,15.742473363876343,0.009241193532943726,3.5792520066024736e-05,0.0092768594622612,0.008358201943337917,2.1631300114677288e-05,0.008383731357753277,0.22898073494434357,0.6150222420692444,0.09631645478453409,0.21183249354362488,0.004603915382176638,0.0915627181649457
27,15.734454870223999,0.009205929934978485,3.70992420357652e-05,0.009243038482964039,0.008353394456207752,0.00019560851796995848,0.00855266209691763,0.22908446192741394,0.615338921546936,0.09614072229271027,0.20889724791049957,0.01363122183829546,0.09248060389572307
28,15.540595769882202,0.009137291461229324,3.8732436223654076e-05,0.009175915271043777,0.008330569602549076,2.8858785299235024e-06,0.008337654173374176,0.2291109710931778,0.6151277422904968,0.09579099786015269,0.20967145264148712,0.0016379229491576552,0.0913107560661622
29,15.946407318115234,0.009151249192655087,3.8514393963851035e-05,0.009189832955598831,0.008242073468863964,3.4798079013853567e-06,0.008249301463365555,0.22914882004261017,0.6150563359260559,0.09586361643292429,0.2042456418275833,0.0017929872265085578,0.0908256652239088
30,16.3145534992218,0.009130185469985008,3.566673694876954e-05,0.009166067466139793,0.008363373577594757,3.2353229926229687e-06,0.008370460942387581,0.22927623987197876,0.6156454086303711,0.09573958150179994,0.20990414917469025,0.0017336657037958503,0.09149022320656772
31,15.923957347869873,0.009130396880209446,3.8591548218391836e-05,0.009168758057057858,0.008610040880739689,9.545472494210117e-06,0.008623890578746796,0.2292221635580063,0.6150580048561096,0.0957536320828503,0.20876404643058777,0.0029846925754100084,0.09286490498970425
32,15.644059658050537,0.009042593650519848,3.969812314608134e-05,0.009082259610295296,0.00817817822098732,5.017795501771616e-06,0.00818696990609169,0.22931085526943207,0.6150147914886475,0.09530088987147652,0.20548132061958313,0.0021626348607242107,0.09048187611942897
