Epoch,Time (seconds),Train Loss (Latency),Train Loss (PDR),Total Train Loss,Val Loss (Latency),Val Loss (PDR),Total Val Loss,Train RMSE (Latency),Train RMSE (PDR),Total Train RMSE,Val RMSE (Latency),Val RMSE (PDR),Total Val RMSE
1,16.143296241760254,0.02191738225519657,0.0015729786828160286,0.02349044382572174,0.01711387373507023,0.00034001932363025844,0.017455944791436195,0.20490333437919617,0.6140106320381165,0.15326592519448587,0.19956564903259277,0.018210597336292267,0.13212094758756537
2,15.062825918197632,0.016279498115181923,0.00021217217727098614,0.016491929069161415,0.013229230418801308,0.0001170829709735699,0.013346197083592415,0.21544714272022247,0.6150900721549988,0.12842090588826033,0.18274563550949097,0.010385112836956978,0.11552574208198109
3,13.60034441947937,0.013860293664038181,0.00011920138786081225,0.013979841955006123,0.01190565712749958,7.039813499432057e-05,0.011978969909250736,0.220119908452034,0.6150113940238953,0.11823638168941962,0.20830613374710083,0.00825427658855915,0.10944848061645596
4,13.550891160964966,0.012463651597499847,0.0001128137155319564,0.012576219625771046,0.010075323283672333,3.181809370289557e-05,0.010106666944921017,0.22304867208003998,0.6151575446128845,0.11214374537071181,0.19989052414894104,0.005483986344188452,0.10053192003001343
5,13.39712929725647,0.01126086339354515,9.328449232270941e-05,0.011354384012520313,0.010071619413793087,3.150719203404151e-05,0.010102763772010803,0.2252347320318222,0.615052342414856,0.10655695196710684,0.20218156278133392,0.005528539884835482,0.10051250555035827
6,13.571802616119385,0.010828223079442978,7.34888672013767e-05,0.010901513509452343,0.009433786384761333,3.656762055470608e-05,0.009474005550146103,0.2259334772825241,0.6151705980300903,0.10441031323318757,0.2014928162097931,0.005977998953312635,0.09733450338983655
7,13.495166778564453,0.010544033721089363,7.094803731888533e-05,0.01061529852449894,0.00922112725675106,2.0004790712846443e-05,0.009244603104889393,0.2264823168516159,0.6149649620056152,0.10303057082487188,0.21113444864749908,0.004241758957505226,0.09614885909301989
8,13.69551682472229,0.010448507964611053,6.53236493235454e-05,0.010513790883123875,0.00890557374805212,3.6264096706872806e-05,0.008945077657699585,0.2269587367773056,0.614648699760437,0.10253677819750275,0.20134709775447845,0.00570213608443737,0.09457842067670397
9,13.672065258026123,0.010196815244853497,6.534741987707093e-05,0.010262337513267994,0.008800968527793884,1.992353645619005e-05,0.00882447138428688,0.2271951138973236,0.615147054195404,0.10130319596768897,0.2022988647222519,0.0041269054636359215,0.09393865756059579
10,13.66834044456482,0.010074564255774021,6.874898099340498e-05,0.010143401101231575,0.008851882070302963,0.00013870603288523853,0.008994252420961857,0.22749313712120056,0.6152749061584473,0.10071445328864956,0.20378275215625763,0.011615595780313015,0.09483803256585333
11,13.796220302581787,0.010017410852015018,6.013857637299225e-05,0.01007790956646204,0.008560625836253166,1.2775288269040175e-05,0.008576863445341587,0.22763438522815704,0.6149462461471558,0.10038879203607363,0.20545664429664612,0.003292296314612031,0.09261135699978479
12,13.66614317893982,0.009940661489963531,5.7782734074862674e-05,0.0099986856803298,0.008595183491706848,6.0481514083221555e-05,0.00865938887000084,0.22778280079364777,0.6152886152267456,0.09999342818570528,0.20430907607078552,0.007636103313416243,0.09305583737735554
13,13.548234224319458,0.00985882617533207,5.7680535974213853e-05,0.009915987960994244,0.008717136457562447,1.3213592865213286e-05,0.008734017610549927,0.22771701216697693,0.6151628494262695,0.09957905382656658,0.204704150557518,0.003451927565038204,0.09345596615813206
14,13.701811075210571,0.009789794683456421,5.587900886894204e-05,0.009845927357673645,0.008543538860976696,1.2117311598558445e-05,0.00855945609509945,0.22807101905345917,0.6153051257133484,0.09922664640948844,0.20822876691818237,0.003304684069007635,0.09251732862063976
15,13.78437066078186,0.009795053862035275,5.048944876762107e-05,0.009845860302448273,0.008555508218705654,1.7013551769196056e-05,0.00857622642070055,0.22788043320178986,0.615108072757721,0.09922630851970798,0.2058998942375183,0.00393444811925292,0.09260791769984114
16,13.472328662872314,0.009724258445203304,5.1598304708022624e-05,0.009775993414223194,0.008701554499566555,0.00022982819064054638,0.008935033343732357,0.22799409925937653,0.6155334115028381,0.09887362345045919,0.2117638736963272,0.015053290873765945,0.09452530530885556
17,13.839656352996826,0.00966729037463665,5.785359826404601e-05,0.009725095704197884,0.008876364678144455,2.503982796042692e-05,0.0089052589610219,0.22807547450065613,0.6153130531311035,0.09861589985493152,0.20087800920009613,0.004923409782350063,0.09436767964203581
18,13.81055474281311,0.009621516801416874,5.213332042330876e-05,0.009673901833593845,0.008507166057825089,2.5088522306759842e-05,0.008536108769476414,0.22834819555282593,0.6152305603027344,0.09835599541255147,0.2104204297065735,0.004911329131573439,0.0923910643378266
19,13.66135835647583,0.009574458934366703,5.29024655406829e-05,0.009627464227378368,0.008510956540703773,1.3308505003806204e-05,0.008528185077011585,0.2286377102136612,0.6155407428741455,0.09811964241362872,0.2052692025899887,0.003466673893854022,0.09234817311139179
20,13.681575298309326,0.00952494703233242,5.060554394731298e-05,0.009575584903359413,0.008398223668336868,1.652702303545084e-05,0.008418393321335316,0.2284553349018097,0.6151272058486938,0.09785491762481544,0.20340809226036072,0.003890895750373602,0.09175180282335228
21,13.640681505203247,0.009509717114269733,5.1586746849352494e-05,0.0095616290345788,0.008746935054659843,2.294614205311518e-05,0.008773652836680412,0.2285241335630417,0.6148394346237183,0.09778358264340083,0.21506185829639435,0.004562612157315016,0.09366777907413207
22,13.761769771575928,0.009476075880229473,4.962438833899796e-05,0.009525511413812637,0.008306834846735,1.3356681847653817e-05,0.008324109949171543,0.22834840416908264,0.6152053475379944,0.09759872649687924,0.20881614089012146,0.0034588207490742207,0.0912365603756057
23,13.801311254501343,0.00938735157251358,5.0884489610325545e-05,0.00943809561431408,0.00865818653255701,2.269649485242553e-05,0.00868495274335146,0.22884635627269745,0.6152895092964172,0.09714986162786893,0.2118411660194397,0.004588713403791189,0.09319309386081921
24,13.685617923736572,0.009366539306938648,4.797848669113591e-05,0.009414855390787125,0.008408581838011742,3.0791481549385935e-05,0.008443411439657211,0.22869934141635895,0.6150013208389282,0.09703017773243088,0.20646774768829346,0.005431946832686663,0.09188803752206928
25,13.59178900718689,0.009344908408820629,4.919882849208079e-05,0.009394501335918903,0.008284340612590313,1.3520365428121295e-05,0.00830161850899458,0.22882463037967682,0.6156246662139893,0.09692523580533041,0.20692673325538635,0.0033733807504177094,0.09111321808055393
26,13.647155523300171,0.009286078624427319,4.6980090701254085e-05,0.009333151392638683,0.008304821327328682,2.1179161194595508e-05,0.008329744450747967,0.22899773716926575,0.6150056719779968,0.09660823667078643,0.20855236053466797,0.004458731506019831,0.09126743368117658
27,13.509335279464722,0.00928010419011116,4.925827670376748e-05,0.00932936929166317,0.008330125361680984,1.2807856364815962e-05,0.008346776477992535,0.22889308631420135,0.6151638031005859,0.09658866026435593,0.20809605717658997,0.00341696385294199,0.09136069438217145
28,13.762109756469727,0.009242959320545197,4.597536462824792e-05,0.009288963861763477,0.008324792608618736,1.3042087630310562e-05,0.008341534994542599,0.22899793088436127,0.615167498588562,0.09637927091321805,0.20388369262218475,0.003417045110836625,0.09133200421836038
29,13.932049751281738,0.009178954176604748,4.355619239504449e-05,0.00922274962067604,0.008478909730911255,1.6824627891764976e-05,0.008499959483742714,0.2288399189710617,0.6150047183036804,0.09603514784013216,0.2130674570798874,0.003892483888193965,0.09219522484241098
30,13.945225715637207,0.009167473763227463,4.397085649543442e-05,0.009211499243974686,0.008352025412023067,1.563420482852962e-05,0.008371558040380478,0.22904516756534576,0.6151154041290283,0.09597655569968473,0.2068743258714676,0.0037745661102235317,0.09149621872176182
31,13.565755605697632,0.009119035676121712,4.264231392880902e-05,0.009161724708974361,0.008759621530771255,1.7368791304761544e-05,0.008780897594988346,0.2290167510509491,0.6148509979248047,0.09571689876387743,0.21536514163017273,0.0040141139179468155,0.09370644372180788
32,13.615067958831787,0.009147009812295437,4.3234431359451264e-05,0.009190172888338566,0.008327043615281582,1.4955774531699717e-05,0.00834601279348135,0.22932246327400208,0.6146102547645569,0.09586538941838481,0.2030186504125595,0.0035297779832035303,0.0913565147840117
33,13.72116994857788,0.009107150137424469,4.307179551688023e-05,0.009150160476565361,0.008723711594939232,2.201883944508154e-05,0.008750042878091335,0.2291376292705536,0.615354597568512,0.0956564711693117,0.2102832943201065,0.004616665653884411,0.09354166386210658
34,13.716108798980713,0.009041042067110538,4.3059702875325456e-05,0.009084099903702736,0.008705453015863895,1.0759456927189603e-05,0.008720440790057182,0.22914069890975952,0.6152240633964539,0.09531054455674218,0.2097650170326233,0.0030190672259777784,0.09338330038104876
35,13.62214708328247,0.00900671910494566,4.186513615422882e-05,0.009048739448189735,0.008183836936950684,1.2297517059778329e-05,0.008200100623071194,0.22948715090751648,0.6151106357574463,0.09512486240825653,0.2089892327785492,0.0032843565568327904,0.09055440697763524
36,13.594237565994263,0.008975539356470108,4.117321805097163e-05,0.009017079137265682,0.008263502269983292,1.7881997337099165e-05,0.00828536320477724,0.2292432188987732,0.6150029301643372,0.09495830209763484,0.2072494477033615,0.004041594453155994,0.09102397049556364
37,13.617499589920044,0.00891858246177435,4.159432137385011e-05,0.008960111998021603,0.008281487040221691,1.803500526875723e-05,0.008303512819111347,0.22957539558410645,0.6149713397026062,0.09465786812527315,0.20753321051597595,0.00396185414865613,0.09112361285150708
38,13.631701469421387,0.008905347436666489,4.536822598311119e-05,0.008951066061854362,0.008515226654708385,1.906629950099159e-05,0.008538291789591312,0.22941507399082184,0.6148207783699036,0.09461007378632764,0.21245844662189484,0.004217210691422224,0.09240287760449516
39,13.48716425895691,0.00886486005038023,4.253600855008699e-05,0.008907584473490715,0.008743491023778915,1.8715241822064854e-05,0.00876620877534151,0.22949157655239105,0.615037202835083,0.09438000038933415,0.220110684633255,0.0038982429541647434,0.09362803413156505
40,13.658725023269653,0.008819468319416046,4.343315595178865e-05,0.00886304397135973,0.00825815461575985,1.53126020450145e-05,0.008277331478893757,0.22946375608444214,0.6148720383644104,0.09414374101000943,0.2087579369544983,0.003679631045088172,0.09097984105775167
41,13.57523512840271,0.008792131207883358,4.1668867197586223e-05,0.008833058178424835,0.00844685360789299,8.379761311516631e-06,0.008459620177745819,0.22984662652015686,0.6151165962219238,0.09398435071023704,0.21268828213214874,0.0026540723629295826,0.09197619353803363
